size,regime,feature,feature_label,sample_count,forward_only_pool_count,otsu_cut,otsu_closing_count,otsu_nonclosing_count,log10_gap_at_cut,status
150,pre,er_over_dg2,abs(Delta E_R)/(V0 Delta gamma^2),6,1814,557.8007811240356,425,1389,0.36743700206605645,ok
150,pre,es_over_dg,Delta E_S/(V0 Delta gamma),6,1814,0.093692055669487,613,1201,0.005011129069591558,ok
150,pre,es_over_dg2,Delta E_S/(V0 Delta gamma^2),6,1814,9369.20556693933,613,1201,0.005011129069591558,ok
150,pre,ei_over_dg,abs(Delta E_I)/(V0 Delta gamma),6,1814,0.11427546157135748,639,1175,0.009819774977381512,ok
150,pre,ei_over_dg2,abs(Delta E_I)/(V0 Delta gamma^2),6,1814,11427.546157124321,639,1175,0.009819774977382068,ok
150,pre,sigma_r_over_dg,abs(Delta sigma_R)/Delta gamma,6,1814,0.13549697154120266,483,1331,0.02102394447033651,ok
150,pre,sigma_i_over_dg,abs(Delta sigma_I)/Delta gamma,6,1814,0.15156596093412827,490,1324,0.006877888982209535,ok
150,pre,sigma_s_over_dg,abs(Delta sigma_S)/Delta gamma,6,1814,1.1103983124954688,835,979,0.0032084634870714127,ok
150,pre,er_over_es,abs(Delta E_R)/Delta E_S,6,1814,0.10040429147325179,408,1406,0.03625161872918892,ok
150,pre,ei_over_es,abs(Delta E_I)/Delta E_S,6,1814,1.9620484386026085,1776,38,0.008372864692280546,ok
150,pre,sigma_r_over_sigma_s,abs(Delta sigma_R)/abs(Delta sigma_S),6,1814,0.16341558879020798,488,1326,0.001366071779112188,ok
150,pre,sigma_i_over_sigma_s,abs(Delta sigma_I)/abs(Delta sigma_S),6,1814,0.18417910592137188,496,1318,0.01148231951227463,ok
150,pre,sigma_r_over_sigma_i,abs(Delta sigma_R)/abs(Delta sigma_I),6,1814,0.8897321035639447,433,1381,0.02013922776515778,ok
150,pre,er_over_ei,abs(Delta E_R)/abs(Delta E_I),6,1814,0.19765077914298929,423,1391,0.9969883463548315,ok
