t,W_less_mesh_locking,W_mesh_locking,W_double_triangle_edge_flip,W_single_triangle_edge_flip,abs_delta_W_mesh_locking,abs_delta_W_double_triangle_edge_flip,abs_delta_W_single_triangle_edge_flip
0.77100000000000002,0.23622168173999999,0.23224313552,0.23224313552,0.23691843876999999,0.0039785462199999899,0.0039785462199999899,0.00069675702999999478
0.77200000000000002,0.23438541004999999,0.23049115203000001,0.23049115203000001,0.23508219986000001,0.0038942580199999854,0.0038942580199999854,0.00069678981000001472
0.77300000000000002,0.23255428291999999,0.22874408893000001,0.22874408893000001,0.23325104341,0.0038101939899999882,0.0038101939899999882,0.00069676049000000351
0.77400000000000002,0.23072832439999999,0.22700196013999999,0.22700196013999999,0.23142499354000001,0.0037263642600000035,0.0037263642600000035,0.00069666914000002245
0.77500000000000002,0.22890755846999999,0.22526477952999999,0.22526477952999999,0.22960407438,0.0036427789400000077,0.0036427789400000077,0.00069651591000000068
0.77600000000000002,0.22709200930000001,0.22353256102999999,0.22353256102999999,0.22778831011,0.0035594482700000152,0.0035594482700000152,0.00069630080999999455
0.77700000000000002,0.22528170096,0.22180531857999999,0.22180531857999999,0.22597772492000001,0.0034763823800000038,0.0034763823800000038,0.00069602396000001399
0.77800000000000002,0.22347665764999999,0.22008306617000001,0.22008306617000001,0.22417234309,0.0033935914799999856,0.0033935914799999856,0.00069568544000001009
0.77900000000000003,0.22167690354,0.21836581785,0.21836581785,0.22237218892999999,0.003311085689999993,0.003311085689999993,0.00069528538999999445
0.78000000000000003,0.21988246282999999,0.21665358767000001,0.21665358767000001,0.22057728678999999,0.0032288751599999777,0.0032288751599999777,0.00069482396000000723
0.78100000000000003,0.21809335976999999,0.21494638974999999,0.21494638974999999,0.21878766104,0.0031469700200000006,0.0031469700200000006,0.00069430127000000286
0.78200000000000003,0.21630961865000001,0.21324423827,0.21324423827,0.21700333616,0.0030653803800000101,0.0030653803800000101,0.00069371750999999704
0.78300000000000003,0.21453126381000001,0.21154714739,0.21154714739,0.21522433657000001,0.0029841164200000159,0.0029841164200000159,0.0006930727599999964
0.78400000000000003,0.21275831958999999,0.20985513137,0.20985513137,0.21345068680000001,0.0029031882199999914,0.0029031882199999914,0.00069236721000001666
0.78500000000000003,0.21099081037,0.20816820455000001,0.20816820455000001,0.21168241145,0.0028226058199999904,0.0028226058199999904,0.00069160107999999276
0.78600000000000003,0.20922876057000001,0.20648638120999999,0.20648638120999999,0.2099195351,0.002742379360000019,0.002742379360000019,0.00069077452999999345
0.78700000000000003,0.20747219457999999,0.20480967581000001,0.20480967581000001,0.20816208239,0.002662518769999983,0.002662518769999983,0.00068988781000001165
0.78800000000000003,0.20572113696,0.20313810279,0.20313810279,0.20641007801,0.0025830341699999981,0.0025830341699999981,0.00068894105000000261
0.78900000000000003,0.20397561217999999,0.20147167671999999,0.20147167671999999,0.2046635467,0.0025039354599999952,0.0025039354599999952,0.00068793452000001643
0.79000000000000004,0.20223564479,0.19981041204,0.19981041204,0.20292251319999999,0.0024252327500000059,0.0024252327500000059,0.00068686840999998555
0.79100000000000004,0.20050125936999999,0.19815432352000001,0.19815432352000001,0.20118700232,0.0023469358499999815,0.0023469358499999815,0.00068574295000001229
0.79200000000000004,0.19877248050999999,0.19650342580999999,0.19650342580999999,0.19945703897,0.002269054699999995,0.002269054699999995,0.00068455846000001208
0.79300000000000004,0.19704933278,0.19485773370000001,0.19485773370000001,0.19773264802000001,0.0021915990799999951,0.0021915990799999951,0.00068331524000000976
0.79400000000000004,0.19533184099000001,0.19321726204,0.19321726204,0.19601385425000001,0.0021145789500000012,0.0021145789500000012,0.00068201326000000284
