label,load,energy_mean,median_max_abs_eigenvalue,median_condition
"simple shear, no reconnection",8.0,-7.401333333333334e-17,1050.526358260392,7739011523082986.0
"simple shear, no reconnection",8.1,0.0097604,1052.530813387545,1420595.1101121707
"simple shear, no reconnection",8.2,0.025144,1050.238618715096,1489017.9723428984
"simple shear, no reconnection",8.3,0.036803,1050.1733737823963,3317195.909751616
"simple shear, no reconnection",8.4,0.043232999999999994,1061.35597495109,21227415.867720183
"simple shear, no reconnection",8.5,0.04521,1089.1660941839623,34491145.38335342
"simple shear, no reconnection",8.6,0.043232999999999994,1132.4927488845615,24712138.913119286
"simple shear, no reconnection",8.7,0.036803,1184.223911634063,4424221.234271684
"simple shear, no reconnection",8.8,0.025144,1234.10034511212,2222754.39500426
"simple shear, no reconnection",8.9,0.0097604,1274.905710774738,2286850.450954209
"simple shear, no reconnection",9.0,-1.4803e-16,1334.4795215941353,1.1910809284099792e+16
"simple shear, no reconnection",9.1,0.0097604,1339.6060766618075,2312300.0975104608
"simple shear, no reconnection",9.2,0.025144,1335.5327659579034,2415315.478847485
"simple shear, no reconnection",9.3,0.036803,1332.263172726151,5344130.363511128
"simple shear, no reconnection",9.4,0.043232999999999994,1341.9595492584226,33925541.08481733
"simple shear, no reconnection",9.5,0.04521,1372.1437882785494,54665424.2406888
"simple shear, no reconnection",9.6,0.043232999999999994,1422.0903307723884,38864261.52899005
"simple shear, no reconnection",9.7,0.036803,1483.2130645678276,6912892.595835384
"simple shear, no reconnection",9.8,0.025144,1542.5016090471781,3454807.392797632
"simple shear, no reconnection",9.9,0.0097604,1589.8167127505656,3538398.169501611
"simple shear, no reconnection",10.0,-4.4409e-16,1653.8002692874472,4361761773347577.5
"simple shear, no reconnection",10.1,0.0097604,1662.0947082978655,3573609.428293466
"simple shear, no reconnection",10.2,0.025144,1655.7658498520595,3722171.0838493323
