scenario,integer_shear,reconnection,local_load,absolute_load,energy,max_abs_eigenvalue,min_abs_eigenvalue,tangent_condition
distorted reference,10,edge flip,0.5,0.5,0.04521,28.037984734490976,0.0011116370655371835,25222.247083801583
distorted reference,10,edge flip,0.6,0.6,0.043233,28.14291323354146,0.0016515194553764069,17040.618650857647
distorted reference,10,edge flip,0.7,0.7,0.036803,28.46483434895113,0.009688645057699426,2937.9582159768083
distorted reference,10,edge flip,0.8,0.8,0.025144,29.098057336064755,0.02006769478361417,1449.9950118747136
distorted reference,10,edge flip,0.9,0.9,0.0097604,30.607945389759053,0.01998850661403312,1531.277247509349
distorted reference,10,no reconnection,0.1,0.1,0.0097604,30.60794538979775,0.019988506613590522,1531.2772475451914
distorted reference,10,no reconnection,0.2,0.2,0.025144,29.098057336048463,0.020067694783704786,1449.9950118673542
distorted reference,10,no reconnection,0.3,0.3,0.036803,28.464834348941814,0.009688645057486294,2937.9582160404766
distorted reference,10,no reconnection,0.4,0.4,0.043233,28.14291323357369,0.00165151945567671,17040.61864777859
distorted reference,10,no reconnection,0.5,0.5,0.04521,28.037984734490976,0.0011116370655371835,25222.247083801583
distorted reference,10,no reconnection,0.6,0.6,0.043233,28.14291323354146,0.0016515194553764069,17040.618650857647
distorted reference,10,no reconnection,0.7,0.7,0.036803,28.46483434895113,0.009688645057699426,2937.9582159768083
distorted reference,10,no reconnection,0.8,0.8,0.025144,29.098057336064755,0.02006769478361417,1449.9950118747136
distorted reference,10,no reconnection,0.9,0.9,0.0097604,30.607945389759053,0.01998850661403312,1531.277247509349
