target_width,actual_width,delta_gamma,seed,gamma_center,rate
0.02,0.020000000000000018,5e-06,2,0.75,649.9999999999994
0.02,0.020000000000000018,5e-06,2,0.77,499.99999999999955
0.02,0.020000000000000018,5e-06,2,0.79,399.99999999999966
0.02,0.020000000000000018,5e-06,2,0.81,699.9999999999994
0.02,0.020000000000000018,5e-06,2,0.8300000000000001,449.9999999999996
0.02,0.019999999999999907,5e-06,2,0.8500000000000001,700.0000000000033
0.02,0.020000000000000018,5e-06,2,0.87,249.99999999999977
0.02,0.020000000000000018,5e-06,2,0.89,699.9999999999994
0.02,0.020000000000000018,5e-06,2,0.91,499.99999999999955
0.02,0.020000000000000018,5e-06,2,0.93,549.9999999999995
0.02,0.020000000000000018,5e-06,2,0.9500000000000001,899.9999999999992
0.02,0.019999999999999907,5e-06,2,0.97,750.0000000000035
0.02,0.020000000000000018,5e-06,2,0.99,749.9999999999993
0.02,0.01999999999999999,5e-06,3,0.15000000000000002,500.0000000000002
0.02,0.020000000000000018,5e-06,3,0.17,449.9999999999996
0.02,0.01999999999999999,5e-06,3,0.19,700.0000000000003
0.02,0.020000000000000018,5e-06,3,0.21000000000000002,649.9999999999994
0.02,0.01999999999999999,5e-06,3,0.23000000000000004,750.0000000000003
